query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,0.000295602896977218,37,10,3,0.3,0.0810810810810811,GO:0046688,GO:BP,response to copper ion,27543,14298,GO:0010038
query_1,TRUE,0.000994666138357426,55,10,3,0.3,0.0545454545454545,GO:0046686,GO:BP,response to cadmium ion,27543,14296,GO:0010038
query_1,TRUE,0.00197582330291235,6,10,2,0.2,0.333333333333333,GO:0010273,GO:BP,detoxification of copper ion,27543,4524,GO:0061687|GO:1990169
query_1,TRUE,0.00197582330291235,6,10,2,0.2,0.333333333333333,GO:1990169,GO:BP,stress response to copper ion,27543,28874,GO:0046688|GO:0097501
query_1,TRUE,0.00592287973193551,10,10,2,0.2,0.2,GO:0061687,GO:BP,detoxification of inorganic compound,27543,18318,GO:0098754
query_1,TRUE,0.00723767334232876,11,10,2,0.2,0.181818181818182,GO:0097501,GO:BP,stress response to metal ion,27543,21864,GO:0006950|GO:0010038
query_1,TRUE,0.0157760027402589,16,10,2,0.2,0.125,GO:0071294,GO:BP,cellular response to zinc ion,27543,19325,GO:0010043|GO:0071248
query_1,TRUE,0.0303335349700866,22,10,2,0.2,0.0909090909090909,GO:0071280,GO:BP,cellular response to copper ion,27543,19311,GO:0046688|GO:0071248
query_1,TRUE,0.0426440010799137,26,10,2,0.2,0.0769230769230769,GO:0007263,GO:BP,nitric oxide mediated signal transduction,27543,3154,GO:0019932
query_1,TRUE,0.0495790445459634,28,10,2,0.2,0.0714285714285714,GO:0006882,GO:BP,cellular zinc ion homeostasis,27543,2825,GO:0046916|GO:0055069|GO:0072503
query_1,TRUE,0.0168618416829413,46,10,2,0.2,0.0434782608695652,GO:0022627,GO:CC,cytosolic small ribosomal subunit,27317,1015,GO:0015935|GO:0022626
query_1,TRUE,0.0178174135298868,4082,10,7,0.7,0.00171484566389025,GO:0005829,GO:CC,cytosol,27317,469,GO:0005737|GO:0110165
query_1,TRUE,0.000184751520220001,3,6,2,0.333333333333333,0.666666666666667,REAC:R-MMU-5661231,REAC,Metallothioneins bind metals,8710,825,REAC:R-MMU-5660526
query_1,TRUE,0.000184751520220001,3,6,2,0.333333333333333,0.666666666666667,REAC:R-MMU-5660526,REAC,Response to metal ions,8710,1287,REAC:R-MMU-8953897
